[2025-01-14 18:19:07] info: 	z2m: Logging to console, file (filename: log.log)
[2025-01-14 18:19:07] info: 	z2m: Starting Zigbee2MQTT version 1.39.0 (commit #0326926)
[2025-01-14 18:19:07] info: 	z2m: Starting zigbee-herdsman (0.50.1)
[2025-01-14 18:19:08] warning: 	zh:ezsp: Deprecated driver 'ezsp' currently in use, 'ember' will become the officially supported EmberZNet driver in next release. If using Zigbee2MQTT see https://github.com/Koenkk/zigbee2mqtt/discussions/21462
[2025-01-14 18:19:12] info: 	z2m: zigbee-herdsman started (resumed)
[2025-01-14 18:19:12] info: 	z2m: Coordinator firmware version: '{"meta":{"maintrel":"4 ","majorrel":"7","minorrel":"4","product":13,"revision":"7.4.4.0 build 0"},"type":"EZSP v13"}'
[2025-01-14 18:19:12] info: 	z2m: Currently 14 devices are joined:
[2025-01-14 18:19:12] info: 	z2m: 0xcc86ecfffe6cd773 (0xcc86ecfffe6cd773): LED1925G6 - IKEA TRADFRI bulb E12/E14/E17, color/white spectrum, globe, opal, 440/450/470 lm (Router)
[2025-01-14 18:19:12] info: 	z2m: 0xcc86ecfffe30db22 (0xcc86ecfffe30db22): LED1925G6 - IKEA TRADFRI bulb E12/E14/E17, color/white spectrum, globe, opal, 440/450/470 lm (Router)
[2025-01-14 18:19:12] info: 	z2m: 0xcc86ecfffe7de451 (0xcc86ecfffe7de451): LED1925G6 - IKEA TRADFRI bulb E12/E14/E17, color/white spectrum, globe, opal, 440/450/470 lm (Router)
[2025-01-14 18:19:12] info: 	z2m: 0xcc86ecfffe363f5e (0xcc86ecfffe363f5e): LED1925G6 - IKEA TRADFRI bulb E12/E14/E17, color/white spectrum, globe, opal, 440/450/470 lm (Router)
[2025-01-14 18:19:12] info: 	z2m: 0xcc86ecfffe2f3452 (0xcc86ecfffe2f3452): LED1925G6 - IKEA TRADFRI bulb E12/E14/E17, color/white spectrum, globe, opal, 440/450/470 lm (Router)
[2025-01-14 18:19:12] info: 	z2m: 0xcc86ecfffe364820 (0xcc86ecfffe364820): LED1925G6 - IKEA TRADFRI bulb E12/E14/E17, color/white spectrum, globe, opal, 440/450/470 lm (Router)
[2025-01-14 18:19:12] info: 	z2m: 0xcc86ecfffe327bc1 (0xcc86ecfffe327bc1): LED1925G6 - IKEA TRADFRI bulb E12/E14/E17, color/white spectrum, globe, opal, 440/450/470 lm (Router)
[2025-01-14 18:19:12] info: 	z2m: 0xcc86ecfffe380740 (0xcc86ecfffe380740): LED1925G6 - IKEA TRADFRI bulb E12/E14/E17, color/white spectrum, globe, opal, 440/450/470 lm (Router)
[2025-01-14 18:19:12] info: 	z2m: 0xcc86ecfffe380584 (0xcc86ecfffe380584): LED1925G6 - IKEA TRADFRI bulb E12/E14/E17, color/white spectrum, globe, opal, 440/450/470 lm (Router)
[2025-01-14 18:19:12] info: 	z2m: 0xcc86ecfffe364085 (0xcc86ecfffe364085): LED1925G6 - IKEA TRADFRI bulb E12/E14/E17, color/white spectrum, globe, opal, 440/450/470 lm (Router)
[2025-01-14 18:19:12] info: 	z2m: 0xcc86ecfffe2f345d (0xcc86ecfffe2f345d): LED1925G6 - IKEA TRADFRI bulb E12/E14/E17, color/white spectrum, globe, opal, 440/450/470 lm (Router)
[2025-01-14 18:19:12] info: 	z2m: 0xcc86ecfffe380743 (0xcc86ecfffe380743): LED1925G6 - IKEA TRADFRI bulb E12/E14/E17, color/white spectrum, globe, opal, 440/450/470 lm (Router)
[2025-01-14 18:19:12] info: 	z2m: 0xcc86ecfffe327b56 (0xcc86ecfffe327b56): LED1925G6 - IKEA TRADFRI bulb E12/E14/E17, color/white spectrum, globe, opal, 440/450/470 lm (Router)
[2025-01-14 18:19:12] info: 	z2m: 0x0c4314fffe19426b (0x0c4314fffe19426b): E1524/E1810 - IKEA TRADFRI remote control (EndDevice)
[2025-01-14 18:19:12] warning: 	z2m: `permit_join` set to  `true` in configuration.yaml.
[2025-01-14 18:19:12] warning: 	z2m: Allowing new devices to join.
[2025-01-14 18:19:12] warning: 	z2m: Set `permit_join` to `false` once you joined all devices.
[2025-01-14 18:19:12] info: 	z2m: Zigbee: allowing new devices to join.
[2025-01-14 18:19:12] info: 	z2m: Connecting to MQTT server at mqtt://mqtt
[2025-01-14 18:19:12] info: 	z2m: Connected to MQTT server
